"","Gender","Grade_of_Student","E_Cig_Ever_used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"22413","1","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Agree","Rarely","Never"
"22414","1","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Never","Never"
"22415","2","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Sometimes"
"22416","2","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","I do not use the internet","Never"
"22417","1","11th","Yes","0","Last 6 Months",NA,NA,NA,"No",NA,"No","No","No","Yes",NA,NA,"Agree","Sometimes","Rarely"
"22418","2","11th","Yes","30","Today",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes","No","Yes","Agree","Never","Never"
"22419","1","11th","Yes","0",NA,NA,NA,NA,"No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Most of the time","Rarely"
"22420","2","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Rarely"
"22421","1","11th","Yes","0","Last 6 Months",NA,NA,NA,"No",NA,"No","No","No","Yes","No",NA,"Disagree","Sometimes",NA
"22422","2","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Rarely","Sometimes"
"22423","2","11th","Yes","30","Today",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes","No","Yes",NA,NA,NA
"22424","1","11th","Yes","30","Today",NA,NA,NA,"No",NA,"No","No","No","No","Yes","No","Strongly Agree","Sometimes","Sometimes"
"22425","2","11th","Yes","30","Today",NA,NA,NA,"No",NA,"No","No","No","Yes","Yes","Yes","Agree","Sometimes","Sometimes"
"22426","2","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Rarely","Rarely"
"22427","1","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Disagree","Never","Rarely"
"22428","1","11th","Yes","30","Today",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes","No","Yes",NA,NA,NA
"22429","2","11th","Yes","30","Today",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes","No","Yes","Agree","Rarely","Rarely"
"22430","2","11th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","No","Yes","Yes","Agree","Never","Rarely"
"22431","1","11th","Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,"No","No","No","Yes",NA,NA,"Disagree","Sometimes","Sometimes"
"22432","2","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Disagree","Most of the time","Sometimes"
"22433","2","12th","Yes","0","Last Year",NA,NA,NA,"No",NA,"Yes","No","No","Yes",NA,NA,"Agree","Sometimes","Sometimes"
"22434","1","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely","Sometimes"
"22435","2","12th","Yes","30","Today",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes","Yes","Yes","Agree","Never","Never"
"22436","2","12th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Most of the time","Never"
"22437","2","12th","Yes","0","Last Year",NA,NA,NA,"No",NA,"No","No","No","Yes",NA,NA,"Agree","Never","Rarely"
"22438","2","12th","Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely","Never"
"22439","1","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Never","Rarely"
"22440","2","12th","Yes","30","Today",NA,NA,NA,"No",NA,"Yes","No","No","No","No","Yes","Agree","Never","Rarely"
"22441","2","12th","Yes","12","Last 7 Days",NA,NA,NA,"No",NA,"No","No","No","No","No","Yes","Agree","Rarely","Rarely"
"22442","1","12th","Yes","0","Last 6 Months",NA,NA,NA,"No",NA,"Yes","No","No","Yes",NA,NA,"Strongly Agree","Never","Never"
"22443",NA,"12th","Yes","0","5 Years Ago",NA,NA,NA,"No",NA,"No","No","No","Yes",NA,NA,"Agree","Never","Sometimes"
"22444","2","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely","Never"
"22445","2","12th","Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","Sometimes"
"22446","2","12th","Yes","15","Last 7 Days",NA,NA,NA,"No",NA,"No","No","No","Yes","No","Yes","Agree","Sometimes","Sometimes"
"22447","1","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Never","Never"
"22448","2","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Agree","Most of the time","Rarely"
"22449","2","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Rarely"
"22450","1","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely","Never"
"22451","1","12th","Yes","5","Today",NA,NA,NA,"No",NA,"Yes","No","No","Yes","Yes","No","Agree","I do not use the internet","I do not use the internet"
"22452","2","12th","Yes","30","Today",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes","Yes","No","Disagree","Rarely","Never"
"22453","2","12th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Rarely","Never"
"22454","1","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Never","I do not use the internet"
"22455","1","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely","Rarely"
"22456","1","11th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","No","No","Yes","Agree","Sometimes","Sometimes"
"22457","2","12th","Yes","30","Today",NA,NA,NA,"No",NA,"No","No","No","Yes","Yes","No","Strongly Disagree","Sometimes","Sometimes"
"22458","2","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","Sometimes"
"22459","1","12th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","Yes",NA,NA,"Disagree","Never","Never"
"22460","1","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","Sometimes"
"22461","1","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Rarely"
"22462","1","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Rarely","Never"
"22463","M","6th","No",NA,NA,"Yes","No","Yes","No",NA,"No","No","No","No","No","Yes","Strongly Disagree","Never","Never"
"22464","M","6th","Yes","0","Last Year",NA,NA,NA,"Yes","0",NA,NA,NA,"No",NA,NA,"Agree","Never","Never"
"22465","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Most of the time","Never"
"22466","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,NA,"Rarely","Rarely"
"22467","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Never"
"22468","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Most of the time","Sometimes"
"22469","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Never","Rarely"
"22470","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Rarely","Never"
"22471","M","6th","No",NA,NA,"Yes","No","No","No",NA,"Yes","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","Sometimes"
"22472","M","6th","No",NA,NA,"No","Yes","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Sometimes","Never"
"22473","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Sometimes","Never"
"22474","M","6th","No",NA,NA,"Yes","No","No","No",NA,"Yes","No","No","Not Sure",NA,NA,"Strongly Agree","Never","Rarely"
"22475","M","6th","Yes","0","Last Year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22476","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Always","Always"
"22477","M","6th","Yes","0","Last 6 Months",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes","Yes","No","Agree","Sometimes","Rarely"
"22478","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Sometimes","Sometimes"
"22479","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Rarely","Never"
"22480","M","6th","Yes","0","Last 6 Months",NA,NA,NA,"No",NA,"Yes","No","No","No",NA,NA,"Agree","Sometimes","Never"
"22481","M","6th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Always",NA
"22482","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Most of the time","Rarely"
"22483","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","Rarely"
"22484","M","6th","No",NA,NA,"Yes","Yes","Yes","Yes","0",NA,NA,NA,"No",NA,NA,"Agree","Never","Rarely"
"22485","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Sometimes","Sometimes"
"22486","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Never","Never"
"22487","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Sometimes","Rarely"
"22488","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","I do not use the internet"
"22489","M","6th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Most of the time","Most of the time"
"22490","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely","Never"
"22491","M","6th","No",NA,NA,"Yes","No","No","No",NA,"Yes","No","No","No",NA,NA,"Agree","Sometimes","Rarely"
"22492","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Never","Never"
"22493","M","6th","No",NA,NA,"Yes","No","No","No",NA,"Yes","No","No","Yes",NA,NA,"Agree","Rarely","Rarely"
"22494","M","6th","No",NA,NA,"Yes","No","No","No",NA,"Yes","No","No","Yes",NA,NA,"Agree","Sometimes","Most of the time"
"22495","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","Sometimes"
"22496","M","6th","No",NA,NA,"Yes","Yes","Yes","No",NA,"Yes","No","No","No",NA,NA,"Agree","Sometimes","Rarely"
"22497","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Never","Never"
"22498","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Never","Never"
"22499","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Rarely","Never"
"22500","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Most of the time","Most of the time"
"22501","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Never","Never"
"22502","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Sometimes","Sometimes"
"22503","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Never","Never"
"22504","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Rarely"
"22505","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Agree","Sometimes","Rarely"
"22506","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","I do not use the internet","I do not use the internet"
"22507","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Never"
"22508","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Never"
"22509","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Never","Never"
"22510","M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Never"
"22511","M","6th","Yes","13","Last 7 Days",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes","No",NA,NA,NA,"Always"
