"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"59",2022,1,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,4,6,3
"60",2022,2,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"61",2022,2,2,1,NA,NA,NA,NA,NA,2,NA,4,4,4,1,NA,NA,1,3,NA
"62",2022,2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"63",2022,2,6,1,0,6,NA,NA,NA,2,NA,2,3,3,1,NA,NA,1,4,4
"64",2022,2,6,1,30,1,NA,NA,NA,1,0,NA,NA,NA,1,1,5,2,2,2
"65",2022,2,1,2,NA,NA,3,4,4,2,NA,4,4,4,1,NA,NA,1,4,4
"66",2022,1,4,2,NA,NA,4,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"67",2022,2,2,2,NA,NA,2,3,3,2,NA,3,4,4,2,NA,NA,2,2,2
"68",2022,2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"69",2022,2,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,2,3,2
"70",2022,2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,2,2,3
"71",2022,2,4,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,1,1
"72",2022,1,6,2,NA,NA,2,4,4,2,NA,4,4,4,1,NA,NA,4,2,3
"73",2022,2,7,2,NA,NA,2,4,4,2,NA,2,4,4,1,NA,NA,2,3,2
"74",2022,1,1,2,NA,NA,4,3,3,2,NA,3,2,4,1,NA,NA,3,3,3
"75",2022,1,2,2,NA,NA,4,3,4,2,NA,4,4,4,1,NA,NA,2,4,4
"76",2022,1,5,2,NA,NA,2,3,2,2,NA,4,4,4,1,NA,NA,2,3,2
"77",2022,1,4,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,4
"78",2022,2,4,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,3,3,4
"79",2022,2,4,2,NA,NA,4,3,4,2,NA,4,4,4,3,NA,NA,2,4,NA
"80",2022,1,4,2,NA,NA,2,3,3,2,NA,4,4,4,1,NA,NA,2,4,3
"81",2022,1,4,2,NA,NA,4,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"82",2022,1,4,2,NA,NA,1,3,2,2,NA,3,4,4,1,NA,NA,2,4,4
"83",2022,2,4,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,3
"84",2022,1,4,2,NA,NA,1,3,3,2,NA,4,4,4,1,NA,NA,2,3,3
"85",2022,2,4,2,NA,NA,1,3,3,2,NA,4,4,4,1,NA,NA,1,6,5
"86",2022,1,4,2,NA,NA,3,2,4,2,NA,4,4,4,1,NA,NA,2,3,2
"87",2022,1,4,1,4,2,NA,NA,NA,2,NA,2,3,4,1,2,1,2,3,3
"88",2022,1,4,2,NA,NA,2,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"89",2022,1,5,2,NA,NA,2,3,3,2,NA,2,3,3,1,NA,NA,2,3,2
"90",2022,1,5,1,30,1,NA,NA,NA,1,30,NA,NA,NA,1,1,1,1,1,1
"91",2022,1,5,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,3,3
"92",2022,1,5,1,2,3,NA,NA,NA,2,NA,4,4,NA,1,1,1,2,2,3
"93",2022,2,4,2,NA,NA,3,4,4,2,NA,3,4,4,1,NA,NA,2,3,3
"94",2022,1,5,2,NA,NA,3,3,4,2,NA,4,4,4,1,NA,NA,1,2,2
"95",2022,1,5,2,NA,NA,4,3,4,2,NA,4,4,4,2,NA,NA,1,3,4
"96",2022,1,5,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"97",2022,2,5,2,NA,NA,4,4,4,2,NA,2,4,4,1,NA,NA,1,2,2
"98",2022,2,4,2,NA,NA,2,3,3,2,NA,4,4,4,2,NA,NA,1,4,3
"99",2022,1,5,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"100",2022,2,5,1,30,1,NA,NA,NA,1,1,NA,NA,NA,1,1,5,NA,NA,NA
"101",2022,1,5,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,2,1
"102",2022,2,4,2,NA,NA,3,4,4,2,NA,3,4,4,2,NA,NA,2,3,3
"103",2022,2,5,1,0,6,NA,NA,NA,2,NA,1,2,2,3,NA,NA,2,3,2
