"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"8844",1,2,2,NA,NA,1,3,3,2,NA,NA,4,4,4,1,NA,NA,2,3,3
"8845",2,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,4,4
"8846",1,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8847",1,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,2,2
"8848",1,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,2,2,3
"8849",2,2,2,NA,NA,3,2,4,2,NA,NA,4,4,4,1,NA,NA,3,4,3
"8850",2,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8851",2,3,2,NA,NA,4,4,4,2,NA,NA,3,4,4,1,NA,NA,1,2,3
"8852",1,3,2,NA,NA,4,4,4,2,NA,NA,3,4,4,2,NA,NA,2,4,4
"8853",2,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,4,3
"8854",2,3,2,NA,NA,4,4,4,2,NA,NA,3,4,4,3,NA,NA,1,4,4
"8855",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,4
"8856",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,4,4
"8857",2,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,5,5
"8858",2,3,2,NA,NA,1,2,3,2,NA,NA,2,3,3,1,NA,NA,2,3,3
"8859",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,3,3,5
"8860",2,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,2,2,3
"8861",1,3,2,NA,NA,4,3,4,2,NA,NA,4,3,4,3,NA,NA,2,3,3
"8862",2,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,NA,3
"8863",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,2,3,2
"8864",1,3,2,NA,NA,3,4,3,2,NA,NA,2,4,3,1,NA,NA,2,2,4
"8865",2,3,1,2,4,NA,NA,NA,2,NA,NA,2,3,4,1,2,1,1,4,5
"8866",1,3,2,NA,NA,2,3,4,2,NA,NA,2,4,4,1,NA,NA,2,3,2
"8867",1,3,2,NA,NA,2,3,3,2,NA,NA,4,4,4,1,NA,NA,2,3,3
"8868",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,3,2,NA,NA,1,3,3
"8869",2,1,2,NA,NA,3,3,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8870",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8871",1,1,2,NA,NA,4,3,4,2,NA,NA,4,3,4,2,NA,NA,1,4,3
"8872",1,1,2,NA,NA,2,3,4,2,NA,NA,4,4,4,3,NA,NA,2,2,3
"8873",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,4,3
"8874",2,1,2,NA,NA,3,3,4,2,NA,NA,4,3,4,3,NA,NA,2,4,3
