"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"8591","M","11th","Yes","6","10",NA,NA,NA,"Yes","2",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Sometimes","Sometimes"
"8592","F","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Rarely"
"8593","M","11th","Yes","1","0",NA,NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
"8594","M","11th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"8595","F","12th","Yes","4","0",NA,NA,NA,"No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Most of the time","Rarely"
"8596","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"8597","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Sometimes"
"8598","M","12th","Yes","1","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Rarely"
"8599","M","12th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","No","Yes","Yes","Never","Rarely"
"8600","F","12th","Yes","4","1",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","No","No","Yes","Rarely","Sometimes"
"8601","F","12th","Yes","5","2",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","No","Yes","Yes","Sometimes","Rarely"
"8602","F","12th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Most of the time"
"8603","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Sometimes","Rarely"
"8604","F","12th","No",NA,NA,"No","No","No","Yes","0","1-4 Years Ago",NA,NA,NA,"Yes",NA,NA,NA,"Rarely","Most of the time"
"8605","F","12th","Yes","6","30",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","No","Yes","No","Never","Sometimes"
"8606","M","12th","Yes","6","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Rarely"
"8607","M","12th","Yes","6","20",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","No","Yes","No","Rarely","Never"
"8608","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"8609","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"8610","F","12th","Yes","6","10",NA,NA,NA,"Yes","1","Last Month",NA,NA,NA,"Yes","Yes","Yes","Yes","Most of the time","Most of the time"
"8611","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Never"
"8612","F","12th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Never"
"8613","M","12th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Never"
"8614","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Never"
"8615","F","12th","Yes","6","30",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","Yes","No","No","Sometimes","Rarely"
"8616","F","12th","Yes","5","0",NA,NA,NA,"No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"8617","M","12th","Yes","5","5",NA,NA,NA,"No",NA,NA,"No","No","No","Not sure","No","Yes","Yes","Never","Sometimes"
"8618","M","12th","Yes","6","30",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"No","Yes","Yes","Yes","Never","Rarely"
"8619","F","12th","Yes","6","1",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","No","Yes","Yes","Rarely","Rarely"
"8620","F","12th","Yes","2","0",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"No","No","No","Yes","Sometimes","Sometimes"
"8621","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Always"
"8622","F","12th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"8623","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Sometimes","Rarely"
"8624","F","12th","Yes","1","0",NA,NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,"Yes","Rarely","Never"
"8625","M","12th","Yes","1","0",NA,NA,NA,"Yes","1","Last Month",NA,NA,NA,"Not sure","No","No","Yes","Never","Never"
"8626","F","12th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Sometimes","Rarely"
"8627","F","12th","Yes","4","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Most of the time"
"8628","M","12th","Yes","5","30",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","No","Yes","Yes","Most of the time","Sometimes"
"8629","F","12th","Yes","6","26",NA,NA,NA,"No",NA,NA,"No","No","Yes","Yes","No","Yes","Yes","Never","Rarely"
"8630","F","12th","Yes","5","0",NA,NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Rarely"
"8631","F","12th","No",NA,NA,"No","No","No","Yes","0","1-4 Years Ago",NA,NA,NA,"Yes",NA,NA,"Yes","Most of the time","Always"
"8632","F","12th","Yes","6","30",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","Yes","Yes","No","Rarely","Never"
"8633","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Most of the time","Rarely"
"8634","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"8635","M","12th","Yes","1","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Rarely"
"8636","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"8637","M","12th","Yes","4","10",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","No","Yes","No",NA,NA
"8638","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"Yes","No","No","Yes",NA,NA,"No","Never","Sometimes"
"8639","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","I do not use the internet"
"8640","F","12th","Yes","6","25",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","Yes","Yes","Yes","Rarely","Sometimes"
"8641","F","12th","Yes","6","30",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","No","No","Yes","Sometimes","Sometimes"
"8642","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"Yes","No","No","No",NA,NA,"Yes","Rarely","Sometimes"
"8643","F","12th","Yes","6","20",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","No","Yes","Yes","Most of the time","Sometimes"
"8644","M","12th","Yes","6","28",NA,NA,NA,"No",NA,NA,"Yes","No","No","Yes","Yes","Yes","No","Never","Never"
"8645","F","12th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Rarely","Sometimes"
