"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"1","M","9th","Yes","3","1",NA,NA,NA,"No",NA,NA,"No","No","No",NA,"No","Yes",NA,NA,NA
"2","F","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"No","Never","Rarely"
"3","F","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Most of the time","Sometimes"
"4","F","9th","Yes","2","3",NA,NA,NA,"Yes","1",NA,NA,NA,NA,NA,"No","Yes",NA,NA,NA
"5","M","Unplaced","Yes","3","0",NA,NA,NA,"Yes","1","Last Month",NA,NA,NA,NA,"No",NA,NA,NA,NA
"6","M","9th","Yes","6","30",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,"Yes","Yes","Yes","No",NA,NA
"7","M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No",NA,"Yes",NA,NA,"Yes",NA,NA
"8","M","9th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"9","F","9th","Yes","5","1",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,NA,"Yes","Yes",NA,NA,NA
"10","F","10th","Yes","2","5",NA,NA,NA,"Yes","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"12","M","9th","Yes","3","1",NA,NA,NA,"No",NA,NA,"No","No","No",NA,"No","Yes",NA,NA,NA
"13","F","9th","No",NA,NA,"No","No","No","Yes","2",NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,NA
"14","M","9th","Yes","1","0",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,NA,"Yes","Rarely","Rarely"
"15","M","9th","No",NA,NA,"No","No","No","No",NA,NA,"Yes",NA,"No","Yes",NA,NA,NA,NA,NA
"16","M","9th","Yes","5","7",NA,NA,NA,"Yes","3","Last Month",NA,NA,NA,NA,"No","Yes",NA,NA,NA
"17","F","9th","No",NA,NA,"No","No","No","Yes","0","Last 6 Months",NA,NA,NA,"No",NA,NA,"Yes","Sometimes","Sometimes"
"18","F","9th","No",NA,NA,"No","No","No","Yes","2","Last Month",NA,NA,NA,NA,"Yes","Yes",NA,NA,NA
"19","M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Most of the time"
"20","M","9th","Yes","6","15",NA,NA,NA,"No",NA,NA,"No","No","No",NA,"No","Yes",NA,NA,NA
"21","M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes",NA,"Rarely"
"22","M","8th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"No","Never","Rarely"
"23","F","9th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA
"24","F","9th","No",NA,NA,NA,NA,"No","No",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA
"25","F","9th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes",NA,NA
"26","M","9th","Yes","4","3",NA,NA,NA,"No",NA,NA,"Yes","No","No",NA,"No","No",NA,NA,NA
"27","M","9th","Yes","2","1",NA,NA,NA,"Yes","1",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA
"28","F","9th","Yes","4","20",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,NA,"No","Yes",NA,NA,NA
"29","M","9th","Yes","4","24",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA
"31","F","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"32","M","9th","Yes","5","25",NA,NA,NA,"No",NA,NA,"No","No","No",NA,"No","Yes",NA,NA,NA
"33","M","9th","Yes","1","1",NA,NA,NA,"No",NA,NA,"Yes","Yes","No",NA,"No","No",NA,NA,NA
"34","M","9th","Yes","2","0",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,NA,"No","Yes",NA,NA,NA
"35","F","9th","Yes","1","4",NA,NA,NA,"Yes","4","Today",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","F","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
"37","M","9th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"No","Rarely","Sometimes"
"38","M","9th","Yes","1","1",NA,NA,NA,"Yes","4",NA,NA,NA,NA,"Yes","No","Yes",NA,NA,NA
"39","F","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Rarely"
"40","M","9th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA
"41","F","9th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Always","Sometimes"
"42","M","9th","Yes","1","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,NA,NA,NA
"43","F","9th","No",NA,NA,"Yes","No","No","Yes","0","5 Years Ago",NA,NA,NA,"No",NA,NA,"Yes","Sometimes","Most of the time"
"44","M","9th","No",NA,NA,"No","No","No","Yes","0","1-4 Years Ago",NA,NA,NA,"Yes",NA,NA,"Yes",NA,NA
"45","M","9th","Yes","1","12",NA,NA,NA,"No",NA,NA,"Yes","No","Yes",NA,"No",NA,NA,NA,NA
"46","M","9th","No",NA,NA,"No","No","No","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes",NA,NA
"47","M","10th","Yes","5","20",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"No","No","Yes","Yes","Rarely","Sometimes"
"48","M","10th","No",NA,NA,"No","Yes","Yes","No",NA,NA,"No","Yes","No","Yes",NA,NA,"Yes","Sometimes","I do not use the internet"
"49","M","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","I do not use the internet","I do not use the internet"
"50","F","10th","Yes","5","30",NA,NA,NA,"Yes","16","Last 7 Days",NA,NA,NA,"Yes","Yes","No","No","Sometimes","Most of the time"
"51","F","10th","Yes","5","9",NA,NA,NA,"Yes","3","Today",NA,NA,NA,"Yes","No","No",NA,"Always","Rarely"
"52","F","10th","No",NA,NA,"No","No","No","Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,NA,"Yes","Sometimes","Sometimes"
"53","M","10th","Yes","5","3",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","No","Yes","Yes","Most of the time","Rarely"
"54","F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"55","M","10th","No",NA,NA,"No","No","No","Yes","0",NA,NA,NA,NA,"Yes",NA,NA,"Yes","Rarely","Sometimes"
"56","M","10th","No",NA,NA,"Yes","Yes","Yes","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Always","Most of the time"
"57","F","10th","No",NA,NA,"Yes","No","No","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Never","Never"
"58","F","10th","Yes","1",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Never","Never"
"59","F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
"60","F","10th","No",NA,NA,"Yes","No","No","Yes","1",NA,NA,NA,NA,"Yes","No",NA,"Yes","Sometimes","Rarely"
"61","F","10th","Yes","3","4",NA,NA,NA,"Yes","0",NA,NA,NA,NA,"Yes","No","Yes","No","Rarely","Rarely"
"62","M","10th","Yes","2","0",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes",NA,NA,"Yes","Sometimes","Most of the time"
"63","M","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"No","Never","Never"
"64","M","10th","Yes","1","0",NA,NA,NA,"No",NA,NA,"Yes","Yes","Yes","No",NA,NA,"Yes","Rarely","Rarely"
"65","F","10th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Rarely","Rarely"
"66","F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","I do not use the internet","I do not use the internet"
"67","F","10th","No",NA,NA,"No","No","No","Yes","0","Last 6 Months",NA,NA,NA,"Yes","No",NA,"Yes","Rarely","Sometimes"
"68","M","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Most of the time","Most of the time"
"69","M","10th","Yes","2","5",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","Yes","No","No","Sometimes","Most of the time"
"70","M","10th","Yes","6","10",NA,NA,NA,"No",NA,NA,"Yes",NA,"No","Yes","No","Yes","No","Rarely","Rarely"
"71","F","10th","No",NA,NA,"No","No","No","Yes","0",NA,NA,NA,NA,"Yes",NA,NA,"Yes","Rarely","Rarely"
"72","M","10th","Yes","6","30",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,"Yes","Yes","Yes","Yes","Sometimes","Always"
"73","F","10th","Yes","5","30",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","No",NA,"Yes","Never","Rarely"
"74","F","10th","No",NA,NA,"Yes","No","No","No",NA,NA,"Yes","Yes","Yes","Yes",NA,NA,"Yes","Most of the time","Rarely"
"75","F","10th","Yes","6","30",NA,NA,NA,"Yes","10","Last 7 Days",NA,NA,NA,"Yes","Yes","Yes","No","Rarely","Rarely"
"76","M","10th","No",NA,NA,"No","Yes","Yes","No",NA,NA,"No",NA,"No","Yes",NA,NA,"Yes","Never","Never"
"77","F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"78","M","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Never","Never"
"79","M","10th","Yes","3","0",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,"Yes",NA,NA,"Yes","Rarely","Rarely"
"80","F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Never"
"81","M","10th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"82","F","10th","Yes","6","30",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","Yes","No","Yes","Always","Most of the time"
"83","M","10th",NA,NA,NA,NA,NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,NA,"Most of the time","Rarely"
"84","F","10th","Yes","6","25",NA,NA,NA,"Yes","6","Last Month",NA,NA,NA,"Yes","Yes","No","Yes","Most of the time","Sometimes"
"85","M","10th","Yes","6","30",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","Yes","No","No","Never","Never"
"86","M","10th","Yes","4","0",NA,NA,NA,"Yes","1",NA,NA,NA,NA,"No","Yes","Yes","Yes","Rarely","Always"
"87","F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,NA,NA,NA
"88","M","10th","Yes","1","0",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,"Yes","No",NA,"Yes","Always","Always"
"89","F","10th","Yes","2","6",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,"Yes","No","Yes","Yes","Never","Never"
"90","M","10th","Yes","2","0",NA,NA,NA,"No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"91","F","10th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"92","M","10th","Yes","2","0",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","Yes","Yes","Yes","Sometimes","Sometimes"
"93","M","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Always"
"94","M","11th","Yes","6","18",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","No","No","No","Rarely","Rarely"
"95","F","11th","Yes","5","1",NA,NA,NA,"No",NA,NA,"Yes","Yes","No","Yes","No",NA,"No","Sometimes","Never"
"96","F","11th","Yes","6","20",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","No",NA,"Yes","Never","Rarely"
"97","M","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Most of the time"
"98","M","11th","Yes","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Sometimes","Sometimes"
"99","M","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Never"
"100","F","11th","No",NA,NA,"No","No","Yes","Yes","0","Last 6 Months",NA,NA,NA,"Yes",NA,NA,"Yes","Rarely","Rarely"
"101","F","11th","Yes","6","8",NA,NA,NA,"Yes","2","Last 7 Days",NA,NA,NA,"Yes","Yes","No","Yes","Sometimes","Rarely"
"102","M","11th","Yes","1","30",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","Yes","Yes","Yes","Never","Never"
"103","F","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes","No","Yes","Yes","Sometimes","Sometimes"
"104","M","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","Yes","No","No",NA,NA,"No","Never","Never"
"105","M","11th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","Not sure","Yes","No","Yes","Always","Rarely"
"106","M","11th","Yes","6","25",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","Yes","Yes","Yes","Rarely","Rarely"
"107","F","11th","Yes","6","30",NA,NA,NA,"Yes","4","Last Month",NA,NA,NA,"Yes","Yes","No","No","Sometimes","Rarely"
"108","F","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Always"
"109","M","11th","Yes","2","4",NA,NA,NA,"Yes","1","Last Month",NA,NA,NA,"Yes","No","No","No","Never","Rarely"
"110","M","11th","Yes","6","25",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","Yes","Yes","Yes","Rarely","Never"
"111","F","11th","Yes","1","2",NA,NA,NA,"No",NA,NA,"Yes","No","No","Not sure","No","No","Yes","Sometimes","Always"
"112","M","11th","Yes","4","15",NA,NA,NA,"Yes","1","Last Month",NA,NA,NA,"Yes","No","Yes","No","Rarely","Rarely"
"113","F","11th","Yes","4","0",NA,NA,NA,"Yes","0","Last 6 Months",NA,NA,NA,"Yes","Yes","Yes","No","Sometimes","Sometimes"
"114","F","11th","Yes","6","30",NA,NA,NA,"Yes","30","Last 7 Days",NA,NA,NA,"Yes","Yes","No","Yes","Always","Always"
"115","F","11th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,"No","Rarely","Sometimes"
"116","F","11th","Yes","1","2",NA,NA,NA,"No",NA,NA,"No","No","No","No","No",NA,"Yes","Rarely","Rarely"
"117","M","11th","Yes","3","7",NA,NA,NA,"Yes","0","5 Years Ago",NA,NA,NA,"Yes","No","No","Yes","Sometimes","Sometimes"
"118","F","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","I do not use the internet","Never"
"119","F","11th","Yes","5","30",NA,NA,NA,"Yes","10",NA,NA,NA,NA,"Yes","Yes","No","No","Sometimes","Sometimes"
"120","M","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"No","Most of the time","Rarely"
"121","F","11th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"122","M","11th","No",NA,NA,"Yes","Yes","No","Yes","0","5 Years Ago",NA,NA,NA,"Yes",NA,NA,"No","Rarely","Rarely"
"123","F","11th","Yes","6",NA,NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"No","Rarely","Rarely"
"124","F","11th","No",NA,NA,"No","No","No","Yes","1",NA,NA,NA,NA,"No","No","No","Yes","Never","Never"
"125","M","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","I do not use the internet","I do not use the internet"
"126","F","11th","Yes","6","30",NA,NA,NA,"Yes","0","5 Years Ago",NA,NA,NA,"Not sure","Yes","Yes","No","I do not use the internet","I do not use the internet"
"127","M","11th","Yes","6","20",NA,NA,NA,"Yes","0",NA,NA,NA,NA,"Yes","No","Yes","No","Sometimes","Sometimes"
"128","M","11th","Yes","2","0",NA,NA,NA,"Yes","2",NA,NA,NA,NA,"Yes","No","Yes","Yes","Never","Never"
"129","F","11th","No",NA,NA,"No","No","Yes","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"130","M","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Never"
"131","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"132","M","12th","Yes","1","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Rarely"
"133","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Rarely","Rarely"
"134","F","12th","Yes",NA,"0",NA,NA,NA,"Yes","2",NA,NA,NA,NA,"Not sure","No","Yes","Yes","Never","I do not use the internet"
"135","M","12th","Yes","2","3",NA,NA,NA,"Yes","2","Last 7 Days",NA,NA,NA,"Yes","No","No","Yes","Always","Always"
"136","M","12th","Yes","5","4",NA,NA,NA,"Yes","8","Last 7 Days",NA,NA,NA,"Not sure","No","No","No","Never","Rarely"
"137","F","12th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Most of the time"
"138","M","12th","No",NA,NA,"Yes","Yes","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Rarely"
"139","M","12th","Yes","6","0",NA,NA,NA,"Yes","0","Last Year",NA,NA,NA,"Yes",NA,NA,"Yes","I do not use the internet","I do not use the internet"
"140","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"No","Rarely","I do not use the internet"
"141","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"142","M","12th","Yes","1","3",NA,NA,NA,"Yes","1",NA,NA,NA,NA,"Yes","No","No","No","Rarely","Rarely"
"143","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"No","I do not use the internet","I do not use the internet"
"144","M","12th","No",NA,NA,"No","No","No","Yes","0","1-4 Years Ago",NA,NA,NA,"Yes",NA,NA,"Yes","Always","Always"
"145","M","12th","Yes","1","5",NA,NA,NA,"No",NA,NA,"No","No","No","No","No","No","Yes","Rarely","Sometimes"
"146","F","12th","No",NA,NA,"Yes","No","No","Yes","0",NA,NA,NA,NA,"Yes",NA,NA,"Yes","Most of the time","Most of the time"
"147","M","12th","Yes","2","5",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","No","Yes","Yes","Always","Always"
"148","M","12th","Yes","6","1",NA,NA,NA,"Yes","12",NA,NA,NA,NA,"No","Yes","Yes","No",NA,"I do not use the internet"
"149","M","12th","Yes","1","0",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Not sure",NA,NA,"Yes",NA,"Never"
"150","M","12th","No",NA,NA,"Yes","No","Yes","No",NA,NA,"No","No","No","Not sure","No","Yes","No","Never","Never"
"151","F","12th","No",NA,NA,"No","No","No","Yes","0",NA,NA,NA,NA,"Not sure",NA,NA,"Yes","Never","Never"
"152","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Sometimes","Most of the time"
"153","F","12th","Yes","2","0",NA,NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,"Yes","Sometimes","Sometimes"
"154","M","12th","Yes","3",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Sometimes","Sometimes"
"155","F","12th","Yes","2","0",NA,NA,NA,"Yes","0",NA,NA,NA,NA,"Yes",NA,NA,"Yes","Sometimes","Sometimes"
"156","M","12th","No",NA,NA,"Yes","No","No","Yes","1",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Never","Sometimes"
"157","F","12th","Yes","6","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Most of the time"
"158","F","12th","Yes","2","0",NA,NA,NA,"No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Rarely","Most of the time"
"159","M","12th","Yes","6","30",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","Yes","No","No","Rarely","Always"
"160","M","12th","Yes","3","0",NA,NA,NA,"No",NA,NA,"Yes","Yes","Yes","Not sure",NA,NA,"No","Always","Most of the time"
"161","F","12th","Yes","1","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"162","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Always","Always"
"163","M","12th","Yes","6","30",NA,NA,NA,"No",NA,NA,"No","No","No","Not sure","Yes","No","No","Never","Never"
"164","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Never"
"165","M","12th","Yes","2","0",NA,NA,NA,"Yes","0","5 Years Ago",NA,NA,NA,"Yes","Yes","No","No","Always","Rarely"
"166","F","12th","No",NA,NA,"No","No","No","Yes","0","5 Years Ago",NA,NA,NA,"Yes",NA,NA,"Yes","Always","Always"
"167","F","12th","No",NA,NA,"Yes","Yes","Yes","Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","No","Yes","Yes","Never","Most of the time"
"168","M","12th","Yes","1","5",NA,NA,NA,"No",NA,NA,"No","No","No","Yes","No","Yes","Yes","Never","Never"
"169","F","12th","Yes","4","2",NA,NA,NA,"Yes","0","1-4 Years Ago",NA,NA,NA,"No","No","Yes","Yes","Sometimes","Most of the time"
"170","M","12th","Yes","1","2",NA,NA,NA,"Yes","7","Last Month",NA,NA,NA,NA,"No","Yes",NA,NA,NA
"171","M","12th","Yes","6","30",NA,NA,NA,"Yes","20",NA,NA,NA,NA,"Yes","Yes","No","No","Rarely","Rarely"
"172","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"No","Never","Most of the time"
"173","F","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Most of the time","Rarely"
"174","M","12th","Yes","3","0",NA,NA,NA,"No",NA,NA,"Yes","No","Yes","No","Yes","Yes","Yes","Never","Sometimes"
"175","M","12th","Yes","6","30",NA,NA,NA,"Yes","15","Last 7 Days",NA,NA,NA,"Yes","No","No","No","Never","Never"
"176","M","12th","Yes","6","5",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Rarely","Rarely"
"177","F","12th","Yes","1","1",NA,NA,NA,"Yes","0","5 Years Ago",NA,NA,NA,"Yes","No",NA,"Yes","Never","Never"
"178","M","12th","Yes","2","0",NA,NA,NA,"No",NA,NA,"Yes","Yes","No","Yes",NA,NA,"No","Sometimes","Sometimes"
"179","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Never","Never"
"180","M","12th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Rarely"
"181","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"182","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"183","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Rarely","Rarely"
"184","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Never","Rarely"
"185","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Sometimes","Rarely"
"186","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Rarely"
"187","F","6th","No",NA,NA,NA,"No","No","No",NA,NA,"No","No","No","Yes",NA,NA,NA,"Rarely","Sometimes"
"188","F","6th","No",NA,NA,"Yes","No","No","Yes","0","Last 6 Months",NA,NA,NA,"No","No","Yes","Yes","Sometimes","Sometimes"
"189","F","6th","No",NA,NA,"No","No","No","Yes","0","Last Year",NA,NA,NA,"No",NA,NA,"Yes","Sometimes","Sometimes"
"190","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Rarely","Rarely"
"191","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","Yes","No","Not sure",NA,NA,"Yes","Never","Rarely"
"192","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","I do not use the internet","I do not use the internet"
"193","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","I do not use the internet","I do not use the internet"
"194","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"195","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"No","Never","Never"
"196","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Never","Never"
"197","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
"198","M","8th","Yes","2","3",NA,NA,NA,"No",NA,NA,"Yes","No","No","Yes","No","Yes","Yes","Most of the time","Sometimes"
"199","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Rarely","Rarely"
"200","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Rarely"
"201","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Never"
"202","F","6th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Always","Most of the time"
"203","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Rarely","Sometimes"
"204","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Sometimes","Rarely"
"205","M","8th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
