"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet","Cigarette_Last_Usedd"
"14322","F","8th","Yes","1","Today","S","S","S","No","S","S","No","No","No","Yes","No","No","Yes","Never","Rarely",NA
"14323","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Never","Sometimes",NA
"14324","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"14325","F","8th","Yes","1","Today","S","S","S","No","S","S","Yes","No","No","Yes","4","Yes","Yes","Sometimes","Sometimes",NA
"14326","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Sometimes","Sometimes",NA
"14327","M","8th","Yes","1","0","S","S","S","No","S","S","Yes","No","No","Yes","No","S","Yes","Sometimes","Never",NA
"14328","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","4","S","No","Rarely","Rarely",NA
"14329","M","8th","Yes","75","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","S","Yes","Rarely","Sometimes",NA
"14330","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Rarely","Rarely",NA
"14331","F","8th","Yes","1","Today","S","S","S","No","S","S","No","No","No","No","Yes","Yes","Yes","Never","Rarely",NA
"14332","M","8th","Yes","1","0","S","S","S","No","S","S","Yes","No","No","No","Yes","S","Yes","I do not use the internet","I do not use the internet",NA
"14333","M","8th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Most of the time",NA
"14334","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Sometimes",NA
