"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet","Cigarette_Last_Usedd"
"14543","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","No","3","S","Yes","Never","Rarely",NA
"14544","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"14545","F","12th","Yes","75","1-4 Years Ago","S","S","S","Yes","0","E","S","S","S","Not sure","4","No","Yes","Rarely","Rarely",NA
"14546","M","9th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"14547","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Always",NA
"14548","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Sometimes",NA
"14549","F","9th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","4","S","No","Always","Always",NA
"14550","F","9th","Yes","35","10","S","S","S","No","S","S","No","No","No","Yes","3","No","Yes","Rarely","Rarely",NA
"14551","M","9th","No","S","S","No","Yes","Yes","Yes","0","Last 6 Months","S","S","S","No","4","S","Yes","Rarely","Never",NA
"14552","M","9th","Yes","1","0","S","S","S","Yes","0","5 Years Ago","S","S","S","Yes","3","S","Yes","Sometimes","Sometimes",NA
"14553","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Sometimes",NA
"14554","M","9th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","4","S","Yes","Sometimes","Most of the time",NA
"14555","F","9th","Yes","35","30","S","S","S","Yes","0","5 Years Ago","S","S","S","Yes","4","Yes","No","Most of the time","Most of the time",NA
"14556","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Always","Most of the time",NA
"14557","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Never",NA
"14558","M","9th","Yes","1","Today","S","S","S","No","S","S","No","No","No","Yes","6","No","Yes","Always","Always",NA
"14559","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Sometimes","Sometimes",NA
"14560","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"14561","F","6th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","3","S","Yes","Sometimes","Most of the time",NA
"14562","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Never","Never",NA
"14563","M","6th","No","S","S","No","No","No","No","S","S","Yes","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"14564","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","Yes","Never","Never",NA
"14565","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Sometimes",NA
"14566","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Never","Never",NA
"14567","M","6th","Yes","75","Today","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","Yes","Yes","Never","Most of the time",NA
"14568","N","N","No","S","S","No","No","No","No","S","S","No","No","No","No","6","S","Yes","Never","Rarely",NA
"14569","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Rarely","Rarely",NA
"14570","M","8th","Yes","1","0","S","S","S","Yes","1","E","S","S","S","No","Yes","Yes","Yes","Rarely","Rarely",NA
"14571","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Sometimes","Sometimes",NA
"14572","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","I do not use the internet",NA
