"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"18692",2018,"M","9th","Yes","15","Today","Yes","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Rarely","Rarely"
"18693",2018,"M","9th","No","1","Today","Yes","Yes","Yes","No","1","Today","No","No","No","Not Sure","No","1","Yes","Sometimes","Sometimes"
"18694",2018,"M","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Sometimes","Rarely"
"18695",2018,"M","9th","Yes","15","Last 7 Days","Yes","Yes","Yes","No","1","Today","No","Yes","Yes","Yes","No","1","Yes","Rarely","Sometimes"
"18696",2018,"M","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Most of the time","Rarely"
"18697",2018,"F","9th","No","1","Today","Yes","Yes","Yes","No","1","Today","Yes","No","No","Yes","No","1","Yes","Never","Never"
"18698",2018,"F","9th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Sometimes","Rarely"
"18699",2018,"M","11th","Yes","100","Today","Yes","No","Yes","Yes","5","Last Month","Yes","No","No","Yes","No","2","Yes","Rarely","Rarely"
"18700",2018,"M","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Sometimes","Most of the time"
"18701",2018,"M","11th","Yes","75","Last 6 Months","Yes","Yes","Yes","No","1","Today","Yes","No","No","Yes","No","1","Yes","Most of the time","Sometimes"
"18702",2018,"M","11th","Yes","100","Last 7 Days","Yes","Yes","Yes","Yes","1","Last Year","Yes","Yes","No","Yes","Yes","3","Yes","Always",""
"18703",2018,"F","11th","Yes","75","Last 6 Months","Yes","Yes","Yes","Yes","1","8","Yes","No","No","Yes","No","4","Yes","Rarely","Rarely"
"18704",2018,"F","11th","Yes","75","Today","Yes","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Never","I do not use the internet"
"18705",2018,"M","10th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Yes","No","1","Yes","Sometimes","Sometimes"
"18706",2018,"M","10th","Yes","75","Today","Yes","Yes","No","No","1","Today","Yes","No","No","Not Sure","No","1","Yes","Rarely","Never"
"18707",2018,"M","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Rarely"
"18708",2018,"M","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Sometimes","Most of the time"
"18709",2018,"M","10th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","No","No","1","Yes","Never","Always"
"18710",2018,"F","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Never"
"18711",2018,"F","11th","Yes","75","Today","Yes","No","No","Yes","1","1-4 Years Ago","Yes","No","No","Yes","No","1","Yes","Sometimes","Sometimes"
