"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Any_Tobacco_Craving","E_Cig_Promotions_Internet"
"59",2016,"M","12th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"60",2016,"F","12th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"61",2016,"F","12th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"62",2016,"M","12th","No","1","Today","No","Yes","No","Yes","5","Today","Yes","Yes","No","Rarely"
"63",2016,"M","12th","Yes","15","Today","No","No","Yes","Yes","8","Last Year","Yes","Yes","Yes","Most of the time"
"64",2016,"M","12th","Yes","7","5 Years Ago","Yes","Yes","Yes","Yes","8","Last 7 Days","Yes","Yes","Yes","Sometimes"
"65",2016,"M","12th","No","100","Today","No","No","Yes","Yes","6","Today","No","No","No","Rarely"
"66",2016,"M","12th","Yes","100","Today","No","Yes","Yes","Yes","8","5 Years Ago","Yes","Yes","Yes","Sometimes"
"67",2016,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"68",2016,"F","11th","Yes","15","Last 7 Days","Yes","Yes","Yes","Yes","8","5 Years Ago","Yes","Yes","Yes","Sometimes"
"69",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Most of the time"
"70",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"71",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"72",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"73",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"74",2016,"F","8th","Yes","75","Today","Yes","Yes","Yes","Yes","2","Today","Yes","No","No","Sometimes"
"75",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"76",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"77",2016,"F","8th","Yes","75","Today","Yes","No","No","Yes","2","Today","Yes","No","No","I do not use the internet"
"78",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"79",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"80",2016,"M","8th","Yes","35","Today","Yes","No","No","Yes","5","Today","No","No","No","Most of the time"
"81",2016,"M","8th","Yes","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"82",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"83",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","I do not use the internet"
"84",2016,"M","8th","No","1","Today","Yes","No","No","No","2","Today","No","No","No","Never"
"85",2016,"F","8th","Yes","15","Last Month","Yes","Yes","Yes","Yes","2","Today","Yes","No","No","Never"
"86",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"87",2016,"M","8th","Yes","100","Today","Yes","No","Yes","Yes","5","Last 7 Days","Yes","Yes","No","Always"
"88",2016,"M","8th","Yes","100","Last 7 Days","No","No","No","No","1","Today","No","No","No","Never"
"89",2016,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"90",2016,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"91",2016,"M","7th","Yes","75","Today","Yes","No","Yes","Yes","3","Today","Yes","No","No","Sometimes"
"92",2016,"F","7th","Yes","35","Today","Yes","No","Yes","Yes","5","Today","Yes","No","No","Never"
"93",2016,"M","7th","Yes","15","Today","Yes","No","Yes","Yes","2","Last 7 Days","*","","No","Sometimes"
"94",2016,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"95",2016,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"96",2016,"M","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"97",2016,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"98",2016,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"99",2016,"F","7th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
