"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"1169",2021,"2","11th","Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Most of the time","Sometimes"
"1170",2021,"1","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","Never"
"1171",2021,"2","11th","Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes",NA,NA,"Agree","Most of the time","Sometimes"
"1172",2021,"1","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","I do not use the internet","Never"
"1173",2021,"2","11th","Yes","27","Last 7 Days",NA,NA,NA,"Yes","30",NA,NA,NA,"Yes","No","Yes",NA,"Rarely","Never"
"1174",2021,"2","11th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Rarely"
"1175",2021,"2","11th","Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,"Yes","No","No","Not Sure",NA,NA,"Agree","Rarely","Sometimes"
"1176",2021,"2","11th","Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,"No","No","No","Yes",NA,NA,"Disagree","Never","Rarely"
"1177",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1178",2021,"1","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Sometimes","Sometimes"
"1179",2021,"2","12th","Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Disagree","Sometimes","Sometimes"
"1180",2021,"1","12th","No",NA,NA,"No",NA,"No","No",NA,"No","No","No","No",NA,NA,"Agree","Sometimes","Rarely"
"1181",2021,"1","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Rarely","Rarely"
"1182",2021,"1","12th","Yes","30","Today",NA,NA,NA,"Yes","12",NA,NA,NA,"Yes","No","No","Disagree","Rarely","Never"
"1183",2021,"1","12th","Yes","0","Last 6 Months",NA,NA,NA,"No",NA,"No","No","No","No","No","No","Disagree","Never","Never"
"1184",2021,"1","12th","Yes","30","Last 7 Days",NA,NA,NA,"Yes","2",NA,NA,NA,"Yes","Yes","No","Strongly Disagree","Most of the time","Sometimes"
"1185",2021,"1","12th","Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","30",NA,NA,NA,"Yes","No","No","Disagree","Rarely","Rarely"
"1186",2021,"1","12th","Yes","20","Last 7 Days",NA,NA,NA,"Yes","14",NA,NA,NA,"Yes","No","No","Strongly Agree","Most of the time","Sometimes"
"1187",2021,"1","12th","Yes","30","Today",NA,NA,NA,"Yes","2",NA,NA,NA,"No","Yes","No","Disagree","Rarely","Rarely"
"1188",2021,"2","12th","Yes","0","Last 6 Months",NA,NA,NA,"Yes","0",NA,NA,NA,"No",NA,NA,"Strongly Agree","Rarely","Sometimes"
"1189",2021,"2","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","Rarely"
"1190",2021,"2","12th","Yes","0","1-4 Years Ago",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes",NA,NA,"Agree","Never","Rarely"
"1191",2021,"2","9th","Yes","0","Last Year",NA,NA,NA,"No",NA,"Yes","No","No","No",NA,NA,"Strongly Agree","Sometimes","Sometimes"
"1192",2021,"1","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Sometimes"
"1193",2021,"1","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely","Sometimes"
"1194",2021,"1","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Never","Never"
"1195",2021,"1","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Never","Never"
"1196",2021,"1","9th","Yes","0","Last Year",NA,NA,NA,"No",NA,"No","No","No","Yes","No","Yes","Agree","Rarely","Rarely"
"1197",2021,"2","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Never"
"1198",2021,"2","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No",NA,NA,NA,NA,NA,NA
"1199",2021,"2","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Sometimes"
"1200",2021,"2","9th","No",NA,NA,"No","No","No","Yes","0",NA,NA,NA,"Yes",NA,NA,"Strongly Agree","Always","Most of the time"
"1201",2021,"2","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Rarely"
"1202",2021,"1","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely","Rarely"
"1203",2021,"1","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Sometimes","Rarely"
"1204",2021,"2","9th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Disagree","Never","Rarely"
"1205",2021,"2","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Agree","Sometimes","Sometimes"
"1206",2021,"1","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Sometimes","Most of the time"
"1207",2021,"M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Disagree","I do not use the internet","I do not use the internet"
"1208",2021,"2","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Rarely","Rarely"
"1209",2021,"2","9th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","Yes",NA,NA,"Disagree","Most of the time","Rarely"
"1210",2021,"2","9th","Yes","0","Last Year",NA,NA,NA,"No",NA,"Yes","No","No","Yes",NA,NA,"Strongly Agree","Never","Never"
"1211",2021,"2","9th","Yes","30","Last 7 Days",NA,NA,NA,"No",NA,"No","No","No","Not Sure","No","No","Strongly Disagree","Always","Always"
"1212",2021,"1","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Most of the time","Most of the time"
"1213",2021,"2","9th","No",NA,NA,"Yes","No","No","No",NA,"Yes","No","No","Not Sure",NA,NA,"Strongly Agree","Rarely","Rarely"
"1214",2021,"1","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Most of the time","Sometimes"
"1215",2021,"1","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Sometimes","Rarely"
"1216",2021,"1","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Most of the time","Sometimes"
"1217",2021,"2","9th","No",NA,NA,"No","No","No","No",NA,"Yes","No","No","Yes",NA,NA,"Strongly Agree","Most of the time","Sometimes"
"1218",2021,"2","9th","Yes","0","Last 6 Months",NA,NA,NA,"No",NA,"Yes","No","No","No",NA,NA,"Strongly Agree","Most of the time","Most of the time"
"1219",2021,"1","9th","Yes","1","Last Month",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes","Yes","Yes","Strongly Agree","Most of the time","Most of the time"
"1220",2021,"2","9th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Rarely"
"1221",2021,"1","9th","Yes","2","Last 7 Days",NA,NA,NA,"No",NA,"No","No","No","Yes","No","No","Agree","Rarely","Sometimes"
"1222",2021,"1","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Strongly Agree","Never","Never"
"1223",2021,"2","8th","Yes","2","Last 7 Days",NA,NA,NA,"Yes","3",NA,NA,NA,"Yes","No","Yes","Agree","Rarely","Rarely"
"1224",2021,"2","8th","Yes",NA,NA,NA,NA,NA,"No",NA,"No","No","No","Yes",NA,NA,NA,NA,NA
"1225",2021,"1","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Never"
"1226",2021,"1","8th","No",NA,NA,"Yes","Yes","No","Yes","0",NA,NA,NA,"Yes",NA,NA,"Strongly Agree","Sometimes","Rarely"
"1227",2021,"1","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely","I do not use the internet"
"1228",2021,"2","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely","Rarely"
"1229",2021,"2","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Never","Most of the time"
"1230",2021,"1","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Never"
"1231",2021,"2","8th","No",NA,NA,"No","No","No","Yes","0",NA,NA,NA,"Yes",NA,NA,"Strongly Agree","Sometimes","Rarely"
"1232",2021,"1","8th","Yes","0","Last Year",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes",NA,NA,"Strongly Agree","Rarely","Never"
"1233",2021,"2","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Disagree","Rarely","Rarely"
"1234",2021,"1","8th","No",NA,NA,"No","No","No","No",NA,"Yes","No","No","Yes",NA,NA,"Agree","Sometimes","Sometimes"
"1235",2021,"1","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Never","Never"
"1236",2021,"2","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Always"
"1237",2021,"1","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","Sometimes"
"1238",2021,"1","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Most of the time"
"1239",2021,"1","8th","Yes","0","Last 6 Months",NA,NA,NA,"Yes","0",NA,NA,NA,"Yes",NA,NA,"Disagree","Most of the time","Rarely"
"1240",2021,"2","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","Rarely"
"1241",2021,"2","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Sometimes"
"1242",2021,"2","8th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Sometimes","Rarely"
"1243",2021,"2","8th","Yes","2","Last Month",NA,NA,NA,"Yes","20",NA,NA,NA,"Yes","Yes","No","Agree","Rarely","Sometimes"
"1244",2021,"2","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Sometimes","Sometimes"
"1245",2021,"1","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Rarely","Rarely"
"1246",2021,"1","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No","No","Yes","Strongly Disagree","Always","Never"
"1247",2021,"1","8th","No",NA,NA,"No","No","No","Yes","0",NA,NA,NA,"Yes",NA,NA,"Strongly Disagree","Rarely","Rarely"
"1248",2021,"2","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Sometimes","Sometimes"
"1249",2021,"2","8th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Sometimes","Rarely"
"1250",2021,"2","8th","No",NA,NA,"Yes","No","Yes","No",NA,"Yes","No","No","Yes",NA,NA,"Agree","Rarely","Sometimes"
"1251",2021,"1","8th","Yes","0","1-4 Years Ago",NA,NA,NA,"No",NA,"Yes","No","No","Yes",NA,NA,"Agree","Rarely","Sometimes"
"1252",2021,"M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Agree","Never","Never"
"1253",2021,"M","6th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Rarely","Rarely"
