"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"16079",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,2,2
"16080",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,3,3
"16081",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,3,2
"16082",2,2,2,NA,NA,3,3,4,2,NA,3,3,3,1,NA,NA,2,3,3
"16083",1,2,2,NA,NA,3,3,3,2,NA,3,3,3,1,NA,NA,3,2,2
"16084",2,2,2,NA,NA,3,4,4,2,NA,3,4,4,2,NA,NA,2,4,3
"16085",1,2,2,NA,NA,4,3,4,2,NA,4,3,4,2,NA,NA,2,2,3
"16086",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,NA
"16087",2,2,2,NA,NA,1,3,3,2,NA,4,4,4,2,NA,NA,2,4,3
"16088",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,2,1
"16089",2,2,2,NA,NA,3,4,3,2,NA,4,4,4,2,NA,NA,4,5,2
"16090",2,2,2,NA,NA,2,3,3,2,NA,3,3,4,1,NA,NA,1,NA,3
"16091",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,5,2
"16092",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,4,4
"16093",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"16094",1,2,2,NA,NA,4,4,4,2,NA,3,4,4,2,NA,NA,2,3,3
"16095",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,3
"16096",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,5,4
"16097",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,3,2
"16098",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16099",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,4,2
"16100",2,NA,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"16101",2,3,1,1,3,NA,NA,NA,2,NA,1,3,3,2,2,NA,NA,4,2
"16102",1,3,1,20,2,NA,NA,NA,2,NA,4,4,4,2,2,5,1,2,1
"16103",2,3,1,0,5,NA,NA,NA,2,NA,4,4,4,1,NA,NA,2,4,2
"16104",1,3,2,NA,NA,2,3,3,2,NA,4,4,4,3,NA,NA,2,4,2
"16105",2,3,2,NA,NA,2,3,3,1,1,NA,NA,NA,1,2,2,3,3,3
"16106",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,4
"16107",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,5,5
"16108",2,3,1,0,6,NA,NA,NA,2,NA,2,4,4,1,NA,NA,1,3,3
"16109",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"16110",2,3,2,NA,NA,3,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16111",1,3,2,NA,NA,4,4,3,2,NA,4,4,4,1,NA,NA,2,5,5
"16112",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16113",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,5,1
"16114",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"16115",2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,4,3
"16116",1,3,2,NA,NA,3,3,3,2,NA,2,3,3,1,NA,NA,2,3,2
"16117",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,2,1
"16118",2,3,2,NA,NA,3,4,4,2,NA,4,4,4,1,NA,NA,2,3,2
"16119",2,3,1,0,5,NA,NA,NA,2,NA,4,4,4,1,NA,NA,2,4,4
"16120",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"16121",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,2,2
"16122",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,3,3
"16123",1,3,2,NA,NA,2,4,4,2,NA,2,4,4,1,NA,NA,1,4,4
"16124",2,3,1,0,6,NA,NA,NA,2,NA,2,3,3,1,NA,NA,2,3,3
"16125",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,NA
"16126",1,3,2,NA,NA,2,4,3,2,NA,2,4,4,1,NA,NA,2,3,2
"16127",2,3,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,3,3
"16128",1,3,2,NA,NA,4,3,4,2,NA,4,4,3,1,NA,NA,1,4,4
"16129",1,3,2,NA,NA,3,3,3,2,NA,4,4,4,3,NA,NA,2,3,3
"16130",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA
"16131",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,4
"16132",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16133",1,1,2,NA,NA,3,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16134",2,1,2,NA,NA,3,4,4,2,NA,4,4,4,3,NA,NA,2,5,5
"16135",1,1,2,NA,NA,3,4,4,2,NA,2,4,4,1,NA,NA,1,4,3
"16136",1,1,2,NA,NA,4,3,4,2,NA,4,4,4,3,NA,NA,1,3,3
"16137",1,1,2,NA,NA,4,3,4,2,NA,3,3,4,1,NA,NA,1,3,3
"16138",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,2,2
"16139",1,1,2,NA,NA,3,3,4,2,NA,4,3,4,1,NA,NA,1,4,2
"16140",NA,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"16141",2,1,2,NA,NA,2,2,4,2,NA,3,4,4,1,NA,NA,NA,6,3
"16142",2,1,2,NA,NA,1,2,3,2,NA,4,4,4,2,NA,NA,3,3,2
"16143",2,1,2,NA,NA,1,4,4,2,NA,4,4,4,1,NA,NA,1,4,2
"16144",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,3,3
"16145",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,3,3
"16146",1,2,2,NA,NA,4,3,4,2,NA,4,4,4,3,NA,NA,1,2,2
"16147",1,2,2,NA,NA,2,4,4,1,0,NA,NA,NA,1,NA,NA,2,4,3
"16148",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,2,3,2
"16149",1,2,1,0,4,NA,NA,NA,2,NA,4,4,4,1,NA,NA,2,4,3
"16150",2,2,2,NA,NA,3,4,3,2,NA,3,3,3,2,NA,NA,3,NA,NA
"16151",1,2,2,NA,NA,4,3,3,2,NA,4,4,4,3,NA,NA,2,4,3
"16152",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,NA,NA,NA
"16153",1,2,2,NA,NA,2,NA,3,2,NA,4,4,4,NA,NA,NA,3,4,3
"16154",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,4,NA
"16155",2,2,1,0,4,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,1,3,3
"16156",2,2,2,NA,NA,3,4,4,2,NA,2,4,4,2,NA,NA,2,3,3
"16157",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,3,3
"16158",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,3,4
"16159",2,2,2,NA,NA,1,3,4,2,NA,4,4,4,3,NA,NA,2,5,5
"16160",1,2,2,NA,NA,4,3,4,2,NA,4,4,4,2,NA,NA,1,2,2
"16161",1,2,2,NA,NA,3,4,4,2,NA,4,4,4,1,NA,NA,2,3,3
"16162",1,2,2,NA,NA,4,4,3,2,NA,4,3,3,1,NA,NA,1,4,4
"16163",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,1,2
"16164",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"16165",1,2,2,NA,NA,3,4,4,2,NA,3,4,4,1,NA,NA,1,2,2
"16166",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16167",1,2,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,4,4
"16168",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,3,3
"16169",2,2,2,NA,NA,2,3,3,2,NA,4,4,4,1,NA,NA,2,5,6
"16170",2,2,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,2,2
"16171",1,1,2,NA,NA,4,3,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16172",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,1,1
"16173",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,2
"16174",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,4,4,4
"16175",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16176",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,NA
"16177",1,1,1,0,NA,NA,NA,NA,2,NA,3,4,4,1,NA,NA,1,5,5
"16178",1,1,2,NA,NA,4,4,3,2,NA,4,3,3,1,NA,NA,1,4,4
"16179",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,3,NA,NA,1,2,2
"16180",2,1,2,NA,NA,3,4,4,2,NA,4,4,4,1,NA,NA,1,6,6
"16181",1,1,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,2
"16182",2,1,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,3,2
